ttf_name,date_upd,symbol,weight
Airlines,2022-04-29,DAL,
Airlines,2022-04-29,LUV,
Airlines,2022-04-29,RYAAY,
Airlines,2022-04-29,UAL,
Airlines,2022-04-29,AAL,
Airlines,2022-04-29,ALK,
Airlines,2022-04-29,JBLU,
Airlines,2022-04-29,SAVE,
Airlines,2022-04-29,ULCC,
Airlines,2022-04-29,SKYW,
Airlines,2022-04-29,HA,
Big Tech,2022-04-29,AAPL,
Big Tech,2022-04-29,MSFT,
Big Tech,2022-04-29,GOOG,
Big Tech,2022-04-29,AMZN,
Big Tech,2022-04-29,FB,
Big Tech,2022-04-29,TSM,
Big Tech,2022-04-29,NVDA,
Big Tech,2022-04-29,BABA,
Big Tech,2022-04-29,AVGO,
Big Tech,2022-04-29,ASML,
Big Tech,2022-04-29,CSCO,
Big Tech,2022-04-29,ORCL,
Big Tech,2022-04-29,INTC,
Big Tech,2022-04-29,ADBE,
Big Tech,2022-04-29,CRM,
Big Tech,2022-04-29,TXN,
Big Tech,2022-04-29,QCOM,
Big Tech,2022-04-29,AMD,
Big Tech,2022-04-29,IBM,
Cannabis,2022-04-29,TLRY,
Cannabis,2022-04-29,CGC,
Cannabis,2022-04-29,CRON,
Cannabis,2022-04-29,ACB,
Cannabis,2022-04-29,VFF,
3D printing,2022-05-02,DDD,
3D printing,2022-05-02,SSYS,
3D printing,2022-05-02,DM,
3D printing,2022-05-02,MTLS,
3D printing,2022-05-02,VLD,
3D printing,2022-05-02,MKFG,
Agricultural Inputs,2022-05-02,NTR,
Agricultural Inputs,2022-05-02,CTVA,
Agricultural Inputs,2022-05-02,MOS,
Agricultural Inputs,2022-05-02,CF,
Agricultural Inputs,2022-05-02,FMC,
Agricultural Inputs,2022-05-02,UAN,
Agricultural Inputs,2022-05-02,AGRO,
Agricultural Inputs,2022-05-02,IPI,
Agricultural Inputs,2022-05-02,AVD,
Analytics and BI Platforms,2022-05-03,ORCL,
Analytics and BI Platforms,2022-05-03,IBM,
Analytics and BI Platforms,2022-05-03,SAP,
Analytics and BI Platforms,2022-05-03,SPLK,
Analytics and BI Platforms,2022-05-03,ZEN,
Analytics and BI Platforms,2022-05-03,AYX,
Analytics and BI Platforms,2022-05-03,DOMO,
AI and Machine learning,2022-05-03,MSFT,
AI and Machine learning,2022-05-03,GOOGL,
AI and Machine learning,2022-05-03,AMZN,
AI and Machine learning,2022-05-03,FB,
AI and Machine learning,2022-05-03,TSM,
AI and Machine learning,2022-05-03,NVDA,
AI and Machine learning,2022-05-03,BABA,
AI and Machine learning,2022-05-03,INTC,
AI and Machine learning,2022-05-03,QCOM,
AI and Machine learning,2022-05-03,IBM,
AI and Machine learning,2022-05-03,BIDU,
Banking,2022-05-03,JPM,
Banking,2022-05-03,BAC,
Banking,2022-05-03,WFC,
Banking,2022-05-03,MS,
Banking,2022-05-03,RY,
Banking,2022-05-03,TD,
Banking,2022-05-03,HSBC,
Banking,2022-05-03,GS,
Banking,2022-05-03,HDB,
Banking,2022-05-03,C,
Banking,2022-05-03,BNS,
Banking,2022-05-03,USB,
Banking,2022-05-03,COF,
Banking,2022-05-03,CM,
Banking,2022-05-03,BSBR,
Banking,2022-05-03,LYG,
Banking,2022-05-03,ING,
Banking,2022-05-03,BCS,
Banking,2022-05-03,NU,
Banking,2022-05-03,DB,
Banking,2022-05-03,CS,
Banking,2022-05-03,EWBC,
CRISPR / Gene editing,2022-05-03,VRTX,
CRISPR / Gene editing,2022-05-03,SRPT,
CRISPR / Gene editing,2022-05-03,APLS,
CRISPR / Gene editing,2022-05-03,CRSP,
CRISPR / Gene editing,2022-05-03,NTLA,
CRISPR / Gene editing,2022-05-03,BEAM,
CRISPR / Gene editing,2022-05-03,ALLO,
CRISPR / Gene editing,2022-05-03,EDIT,
CRISPR / Gene editing,2022-05-03,VERV,
Vaccines companies,2022-05-03,JNJ,
Vaccines companies,2022-05-03,PFE,
Vaccines companies,2022-05-03,AZN,
Vaccines companies,2022-05-03,MRNA,
Vaccines companies,2022-05-03,BNTX,
Vaccines companies,2022-05-03,NVAX,
IT Cloud Infrastructure,2022-05-03,MSFT,
IT Cloud Infrastructure,2022-05-03,GOOGL,
IT Cloud Infrastructure,2022-05-03,AMZN,
IT Cloud Infrastructure,2022-05-03,BABA,
IT Cloud Infrastructure,2022-05-03,ORCL,
IT Cloud Infrastructure,2022-05-03,IBM,
IT Cloud Infrastructure,2022-05-03,VMW,
IT Cloud Infrastructure,2022-05-03,LUMN,
Crypto Exchanges,2022-05-03,COIN,
Crypto Exchanges,2022-05-03,IBKR,
Crypto Exchanges,2022-05-03,HOOD,
Cryptocurrencies mining,2022-05-03,MARA,
Cryptocurrencies mining,2022-05-03,RIOT,
Cryptocurrencies mining,2022-05-03,CAN,
Cryptocurrencies mining,2022-05-03,HUT,
Cryptocurrencies mining,2022-05-03,IREN,
Cryptocurrencies mining,2022-05-03,ARBK,
Cryptocurrencies mining,2022-05-03,WULF,
Cryptocurrencies mining,2022-05-03,SDIG,
E-Commerce platforms,2022-05-03,CRM,
E-Commerce platforms,2022-05-03,SAP,
E-Commerce platforms,2022-05-03,SHOP,
E-Commerce platforms,2022-05-03,BIGC,
E-Commerce platforms,2022-05-03,VTEX,
Food retail chains,2022-05-03,WMT,
Food retail chains,2022-05-03,COST,
Food retail chains,2022-05-03,TGT,
Food retail chains,2022-05-03,DG,
Food retail chains,2022-05-03,KR,
Food retail chains,2022-05-03,WBA,
Food retail chains,2022-05-03,DLTR,
Food retail chains,2022-05-03,ACI,
Food retail chains,2022-05-03,SFM,
Food retail chains,2022-05-03,UNFI,
Food retail chains,2022-05-03,PSMT,
Food retail chains,2022-05-03,SPTN,
EdTech,2022-05-03,LOPE,
EdTech,2022-05-03,CHGG,
EdTech,2022-05-03,COUR,
EdTech,2022-05-03,LRN,
EdTech,2022-05-03,UDMY,
EdTech,2022-05-03,ARCE,
Electric vehicles (EV),2022-05-03,TSLA,
Electric vehicles (EV),2022-05-03,NIO,
Electric vehicles (EV),2022-05-03,LCID,
Electric vehicles (EV),2022-05-03,RIVN,
Electric vehicles (EV),2022-05-03,XPEV,
Electric vehicles (EV),2022-05-03,NKLA,
Electric vehicles (EV),2022-05-03,FSR,
Electric vehicles (EV),2022-05-03,ARVL,
Electric vehicles (EV),2022-05-03,GOEV,
Electric vehicles battery tech,2022-05-03,QS,
Electric vehicles battery tech,2022-05-03,MVST,
Electric vehicles charging,2022-05-03,CHPT,
Electric vehicles charging,2022-05-03,EVGO,
Electric vehicles charging,2022-05-03,ALLG,
Electric vehicles charging,2022-05-03,WBX,
Electric vehicles charging,2022-05-03,BLNK,
Electric vehicles charging,2022-05-03,VLTA,
Electric vehicles charging,2022-05-03,BEEM,
Food Producers,2022-05-03,UL,
Food Producers,2022-05-03,MDLZ,
Food Producers,2022-05-03,ADM,
Food Producers,2022-05-03,KHC,
Food Producers,2022-05-03,HSY,
Food Producers,2022-05-03,GIS,
Food Producers,2022-05-03,TSN,
Food Producers,2022-05-03,HRL,
Food Producers,2022-05-03,MKC,
Food Producers,2022-05-03,K,
Food Producers,2022-05-03,CAG,
Food Producers,2022-05-03,SJM,
Food Producers,2022-05-03,CPB,
Food Producers,2022-05-03,LW,
Food Producers,2022-05-03,FLO,
Food Producers,2022-05-03,POST,
Food Producers,2022-05-03,FRPT,
Food Producers,2022-05-03,LANC,
Food Producers,2022-05-03,SMPL,
Food Producers,2022-05-03,NOMD,
Food Producers,2022-05-03,BRFS,
Food Producers,2022-05-03,TWNK,
Food Producers,2022-05-03,HAIN,
Food Producers,2022-05-03,JJSF,
FinTech,2022-05-03,INTU,
FinTech,2022-05-03,PYPL,
FinTech,2022-05-03,FISV,
FinTech,2022-05-03,SQ,
FinTech,2022-05-03,WDAY,
FinTech,2022-05-03,COIN,
FinTech,2022-05-03,NU,
FinTech,2022-05-03,BILL,
FinTech,2022-05-03,AFRM,
FinTech,2022-05-03,NVEI,
FinTech,2022-05-03,HOOD,
FinTech,2022-05-03,UPST,
FinTech,2022-05-03,SOFI,
Furniture and decor,2022-05-03,WSM,
Furniture and decor,2022-05-03,RH,
Furniture and decor,2022-05-03,W,
Furniture and decor,2022-05-03,LEG,
Furniture and decor,2022-05-03,HNI,
Furniture and decor,2022-05-03,LZB,
Furniture and decor,2022-05-03,BBBY,
Furniture and decor,2022-05-03,SNBR,
Furniture and decor,2022-05-03,AMWD,
Furniture and decor,2022-05-03,BSET,
Video game industry,2022-05-03,ATVI,
Video game industry,2022-05-03,NTES,
Video game industry,2022-05-03,EA,
Video game industry,2022-05-03,RBLX,
Video game industry,2022-05-03,TTWO,
Video game industry,2022-05-03,ZNGA,
Video game industry,2022-05-03,PLTK,
Video game industry,2022-05-03,HUYA,
Video game industry,2022-05-03,SCPL,
Advanced Materials,2022-05-03,HUN,
Advanced Materials,2022-05-03,ROG,
